Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MAML3		4	4	1525	0.3%	No
RPL29		2	2	1525	0.1%	No
ANKK1		1	1	200	0.5%	No
VPS26B		5	5	597	0.8%	No
SLAIN1		4	4	1725	0.2%	No
MEFV		7	7	597	1.2%	No
PRRC2C		3	3	1725	0.2%	No
RNASE13		1	1	200	0.5%	No
A1CF		6	6	1525	0.4%	No
SLC16A14		3	3	597	0.5%	No
RPL3L		4	4	1525	0.3%	No
GPR137B		1	1	200	0.5%	No
PRRC2B		1	1	200	0.5%	No
TMEM198		3	3	597	0.5%	No
CYLD		4	4	1525	0.3%	Yes
GPR183		3	3	597	0.5%	No
CYP1A2		4	4	1525	0.3%	No
CHRFAM7A		4	4	1525	0.3%	No
CPEB3		6	6	1525	0.4%	No
CPEB2		2	2	1525	0.1%	No
SPEF2		6	6	1675	0.4%	No
ELL		3	3	597	0.5%	Yes
MEI1		1	1	200	0.5%	No
ELN		3	3	597	0.5%	Yes
ZCWPW1		4	4	1875	0.2%	No
CHL1		9	9	1725	0.5%	No
ZAR1L		2	2	1525	0.1%	No
TMSB4X		2	2	1525	0.1%	No
EMB		2	2	1525	0.1%	No
RNF150		1	1	150	0.7%	No
GPRASP1		2	2	200	1.0%	No
RNF152		1	1	200	0.5%	No
GPR135		2	2	1525	0.1%	No
EN1		2	2	1525	0.1%	No
TMEM174		1	1	150	0.7%	No
TMEM175		4	4	1525	0.3%	No
RNF168		6	6	1725	0.3%	No
RNF169		1	1	150	0.7%	No
SLCO4A1		2	2	1525	0.1%	No
PRR23E		3	3	597	0.5%	No
ENG		2	2	1525	0.1%	No
PLPPR1		6	6	2122	0.3%	No
PLPPR4		5	5	2122	0.2%	No
HOXD13		5	5	1525	0.3%	Yes
TMEM160		1	1	200	0.5%	No
TMEM163		1	1	200	0.5%	No
RNF135		1	1	200	0.5%	No
RNF139		2	2	200	1.0%	No
CHN1		4	4	1725	0.2%	Yes
ANKRD53		3	3	1525	0.2%	No
GPR156		5	5	1725	0.3%	No
ANKRD50		3	3	1725	0.2%	No
GPR158		3	3	1725	0.2%	No
RNF133		2	2	1525	0.1%	No
RPL19		2	2	1525	0.1%	No
F12		2	2	1525	0.1%	No
NMNAT2		3	3	597	0.5%	No
RNF145		4	4	1725	0.2%	No
SLCO4C1		4	4	1525	0.3%	No
ANKRD63		4	4	1525	0.3%	No
ANKRD60		2	2	1525	0.1%	No
RNF141		1	1	200	0.5%	No
MSRB1		3	3	597	0.5%	No
COL16A1		1	1	200	0.5%	No
CHPF		2	2	1525	0.1%	No
ANKRD35		2	2	1525	0.1%	No
ANKRD33		6	6	2122	0.3%	No
DACH2		3	3	1725	0.2%	No
DACH1		8	8	1525	0.5%	No
GRB10		3	3	597	0.5%	No
ANKRD46		2	2	1525	0.1%	No
DEFB116		3	3	1725	0.2%	No
ANKRD44		1	1	200	0.5%	No
FAM24A		2	2	1525	0.1%	No
CD180		2	2	200	1.0%	No
CLIP2		1	1	200	0.5%	No
CLIP1		1	1	200	0.5%	Yes
ZFP42		6	6	2122	0.3%	No
CLIP4		2	2	1525	0.1%	No
GAPDHS		1	1	200	0.5%	No
ANKRD42		1	1	200	0.5%	No
ERF		1	1	150	0.7%	Yes
ERG		6	6	1525	0.4%	Yes
MAD1L1		1	1	150	0.7%	No
ANKRD17		7	7	1725	0.4%	No
IQCA1		2	2	200	1.0%	No
CD151		2	2	1525	0.1%	No
C3ORF70		1	1	200	0.5%	No
ABHD3		2	2	200	1.0%	No
ANKRD11		5	5	1725	0.3%	Yes
ABHD2		2	2	200	1.0%	No
ANKRD12		5	5	747	0.7%	No
ABHD1		3	3	1725	0.2%	No
ASMT		1	1	200	0.5%	No
ILDR1		7	7	597	1.2%	No
ACTMAP		2	2	1525	0.1%	No
CHRD		2	2	200	1.0%	No
ILDR2		1	1	200	0.5%	No
VTN		3	3	1725	0.2%	No
OR1Q1		1	1	200	0.5%	No
ABL1		4	4	747	0.5%	Yes
ANKRD26		3	3	597	0.5%	Yes
CD163		5	5	1725	0.3%	No
ANKRD27		1	1	200	0.5%	No
ANKRD24		3	3	597	0.5%	No
LSM4		1	1	200	0.5%	No
PALB2		1	1	200	0.5%	Yes
CNOT4		1	1	200	0.5%	No
CNOT6		5	5	2122	0.2%	No
ZFP69		3	3	597	0.5%	No
CNOT1		1	1	200	0.5%	No
CNOT2		3	3	1725	0.2%	No
CNOT3		13	13	1725	0.8%	Yes
ZFP64		2	2	200	1.0%	No
TADA3		1	1	150	0.7%	No
TDRD12		2	2	1525	0.1%	No
TDRD10		3	3	597	0.5%	No
C6ORF118		3	3	597	0.5%	No
GPR101		4	4	597	0.7%	No
RNF185		2	2	1525	0.1%	No
EIF4G2		3	3	1725	0.2%	No
EIF4G1		2	2	200	1.0%	No
RNF10		1	1	200	0.5%	No
CALCOCO1		1	1	200	0.5%	No
ADRA1A		1	1	200	0.5%	No
SGCE		2	2	200	1.0%	No
PTBP1		2	2	1525	0.1%	No
SGCA		2	2	1525	0.1%	No
DNMT3B		5	4	597	0.7%	Yes
LINC02877		1	1	200	0.5%	No
LINC02875		2	2	1525	0.1%	No
CHUK		1	1	200	0.5%	No
VWF		2	2	200	1.0%	No
DNMT3A		530	486	2122	22.9%	Yes
MEPE		3	3	597	0.5%	No
ADRA2C		2	2	1525	0.1%	No
RANGAP1		4	4	1525	0.3%	No
KCNAB3		2	2	1525	0.1%	No
ADRA2B		2	2	1525	0.1%	No
EVC		1	1	200	0.5%	No
ASPH		1	1	200	0.5%	No
ESRP1		4	4	1525	0.3%	No
EVL		2	2	1525	0.1%	No
SNRPA1		1	1	200	0.5%	No
PKHD1L1		8	8	597	1.3%	No
SFT2D1		1	1	200	0.5%	No
CX3CR1		1	1	200	0.5%	No
NLGN3		1	1	200	0.5%	No
RNF31		1	1	200	0.5%	No
RNF32		4	4	1525	0.3%	No
NLGN2		4	4	1875	0.2%	No
RNF34		2	2	1525	0.1%	No
WBP1		2	2	1525	0.1%	No
RNF38		2	1	200	0.5%	No
MESD		8	8	1725	0.5%	No
MROH1		6	6	1525	0.4%	No
RBBP4		6	6	597	1.0%	No
MROH5		3	3	597	0.5%	No
PUF60		14	14	1525	0.9%	No
ANKAR		2	2	1525	0.1%	No
RBBP8		1	1	200	0.5%	No
MROH8		2	2	1525	0.1%	No
RBBP6		8	8	1875	0.4%	No
MROH7		1	1	200	0.5%	No
MROH6		4	4	1525	0.3%	No
LINC02898		3	3	597	0.5%	No
RNF25		3	3	597	0.5%	No
RNF26		4	4	1525	0.3%	No
ASS1		1	1	200	0.5%	No
STEEP1		1	1	200	0.5%	No
VIPR1		3	3	597	0.5%	No
FAAH		3	3	1725	0.2%	No
VIPR2		4	4	1525	0.3%	No
PKD2L1		4	4	597	0.7%	No
NADSYN1		1	1	150	0.7%	No
GOLGA2		1	1	200	0.5%	No
GOLGA3		2	1	200	0.5%	No
GOLGA4		3	3	200	1.5%	No
GOLGA1		2	2	200	1.0%	No
EYS		8	8	1525	0.5%	No
MCCC2		2	2	200	1.0%	No
IQCF6		2	2	1525	0.1%	No
MTUS1		3	3	200	1.5%	No
MTUS2		11	11	2122	0.5%	No
AFG3L2		1	1	200	0.5%	No
ASTL		3	3	597	0.5%	No
CD109		8	8	2122	0.4%	No
AKAP9		6	6	350	1.7%	No
GUF1		1	1	200	0.5%	No
C3ORF20		1	1	200	0.5%	No
VDAC1		1	1	200	0.5%	No
RELCH		1	1	200	0.5%	No
EZR		7	7	2122	0.3%	Yes
ZFPM2		1	1	200	0.5%	No
ANKRA2		1	1	200	0.5%	No
CBLL2		1	1	200	0.5%	No
OR4C15		3	3	597	0.5%	No
ZFPM1		2	2	1525	0.1%	No
NECAB2		5	5	2122	0.2%	No
KPRP		3	3	597	0.5%	No
TSHZ3		9	9	2122	0.4%	No
PDE1B		1	1	200	0.5%	No
PDE1A		2	2	1525	0.1%	No
TSHZ1		1	1	200	0.5%	No
TSHZ2		8	8	1525	0.5%	No
UMOD		4	4	1725	0.2%	No
CD99L2		2	2	1525	0.1%	No
TRMT2B		2	2	1525	0.1%	No
CYP27B1		2	2	1525	0.1%	No
NUAK2		1	1	200	0.5%	No
VPS8		3	3	1725	0.2%	No
FAM180A		1	1	200	0.5%	No
GPM6B		1	1	200	0.5%	No
ZRSR2		26	26	1525	1.7%	Yes
SLC33A1		1	1	200	0.5%	No
IFNLR1		2	2	1525	0.1%	No
IGFL1		2	2	200	1.0%	No
ACADSB		1	1	200	0.5%	No
GDF5		1	1	200	0.5%	No
GDF9		2	2	1525	0.1%	No
LACC1		1	1	200	0.5%	No
STAG1		8	8	1875	0.4%	Yes
CYP27C1		1	1	200	0.5%	No
STAG2		113	111	2122	5.2%	Yes
CDAN1		2	1	200	0.5%	No
STAG3		1	1	200	0.5%	No
CORO6		2	2	1525	0.1%	No
TRMT13		1	1	200	0.5%	No
INKA2		3	3	597	0.5%	No
BEX5		1	1	200	0.5%	No
ACVRL1		2	2	1525	0.1%	No
SH3KBP1		9	9	1525	0.6%	No
FAF1		4	4	1525	0.3%	Yes
GDI2		6	6	200	3.0%	No
STAB2		1	1	200	0.5%	No
ZBTB8OS		3	3	1525	0.2%	No
STAB1		2	2	200	1.0%	No
ANKRD1		1	1	200	0.5%	No
MAP4K1		1	1	150	0.7%	No
MANBA		2	2	200	1.0%	No
PRMT8		1	1	200	0.5%	No
PRMT7		1	1	200	0.5%	No
PRMT2		2	2	1525	0.1%	No
PRMT1		2	2	1525	0.1%	No
PRMT3		2	2	200	1.0%	No
MSS51		1	1	200	0.5%	No
IGFN1		6	6	622	1.0%	No
PALD1		2	2	1525	0.1%	No
NAALADL1		1	1	200	0.5%	No
BBS10		6	4	1525	0.3%	No
POC5		1	1	200	0.5%	No
BBS12		4	4	597	0.7%	No
WAC		8	8	2122	0.4%	No
FAM20B		2	2	1525	0.1%	No
FASTKD5		2	2	1525	0.1%	No
FAM181B		2	2	1525	0.1%	No
STRAP		1	1	200	0.5%	No
FAM181A		1	1	200	0.5%	No
FAM20A		2	2	1525	0.1%	No
LILRA6		2	2	150	1.3%	No
SLC20A2		1	1	200	0.5%	No
SLC20A1		2	2	1525	0.1%	No
AKAP8		2	2	1525	0.1%	No
AKAP7		2	2	1525	0.1%	No
AKAP6		6	6	1875	0.3%	No
AKAP5		3	3	597	0.5%	No
AKAP4		1	1	200	0.5%	No
LILRA2		1	1	200	0.5%	No
LILRA3		2	2	1525	0.1%	No
LILRA4		1	1	200	0.5%	No
AKAP1		2	2	350	0.6%	No
LILRA5		1	1	150	0.7%	No
FAM184B		2	2	1525	0.1%	No
SHOC1		2	2	1525	0.1%	No
MAP4K5		2	2	1525	0.1%	No
CORIN		3	3	597	0.5%	No
MAP4K3		2	2	200	1.0%	No
MPZL1		1	1	200	0.5%	No
MAP4K4		1	1	200	0.5%	Yes
OR4C46		1	1	200	0.5%	No
CIMAP1C		2	2	1525	0.1%	No
CIMAP1A		1	1	200	0.5%	No
LILRB2		4	4	1219	0.3%	No
LILRB3		4	4	1725	0.2%	No
PODN		2	2	1525	0.1%	No
TJP1		4	4	597	0.7%	No
FAP		2	2	200	1.0%	No
DLC1		6	6	597	1.0%	No
BMAL2		1	1	200	0.5%	No
BMAL1		3	1	200	0.5%	No
TJP3		1	1	200	0.5%	No
TJP2		2	2	1525	0.1%	No
SIRPG		1	1	200	0.5%	No
ARID4A		3	3	1725	0.2%	Yes
ARID4B		3	3	597	0.5%	Yes
TMEM144		2	2	1525	0.1%	No
RDM1		2	2	1525	0.1%	No
FBL		4	4	1525	0.3%	No
TMEM145		1	1	200	0.5%	No
TMEM147		1	1	200	0.5%	No
POGZ		2	2	1525	0.1%	No
FAM186A		6	6	1525	0.4%	No
MEIOC		2	2	200	1.0%	No
SIRPA		3	3	1675	0.2%	No
PDE8B		1	1	200	0.5%	No
PDE8A		2	2	1525	0.1%	No
TMEM14B		1	1	200	0.5%	No
UNC5CL		1	1	200	0.5%	No
AMY1A		4	4	1525	0.3%	No
ARID5B		2	2	1525	0.1%	Yes
CFAP410		2	2	1525	0.1%	No
TMEM131		3	3	200	1.5%	No
SGO1		2	2	200	1.0%	No
SGO2		1	1	200	0.5%	No
TMEM135		1	1	150	0.7%	No
LMX1A		1	1	200	0.5%	No
TBL1XR1		5	4	1725	0.2%	Yes
TMEM138		1	1	200	0.5%	No
DNAJC30		1	1	200	0.5%	No
FAM185A		2	2	1525	0.1%	No
TMEM139		1	1	200	0.5%	No
RPL7L1		1	1	200	0.5%	No
ELMO1		1	1	200	0.5%	No
ELMO2		2	2	1525	0.1%	No
LMX1B		3	3	1725	0.2%	No
STAM2		2	2	1525	0.1%	No
PDE9A		1	1	200	0.5%	No
H6PD		3	3	1725	0.2%	No
DNAJC22		2	2	200	1.0%	No
DNAJC25		2	2	1525	0.1%	No
SEL1L2		4	4	597	0.7%	No
NID1		2	2	200	1.0%	No
NID2		4	4	597	0.7%	No
SEL1L3		2	2	200	1.0%	No
TMEM125		2	2	1525	0.1%	No
SOHLH1		3	3	597	0.5%	No
TMEM129		2	2	1525	0.1%	No
ZC3H18		6	6	597	1.0%	No
SUDS3		5	5	2122	0.2%	No
ASIC2		2	2	1525	0.1%	No
ZC3H13		2	2	200	1.0%	No
ATP6V1D		3	3	1725	0.2%	No
ASIC3		2	2	200	1.0%	No
ZC3H15		1	1	200	0.5%	No
IGKV2-40		3	3	597	0.5%	No
OR2B3		1	1	200	0.5%	No
HSPA8		1	1	200	0.5%	No
TGFB2		2	2	1525	0.1%	No
HSPA5		2	2	200	1.0%	No
HSPA4		10	10	2122	0.5%	No
PTCH1		4	4	597	0.7%	Yes
HSPA6		2	2	1525	0.1%	No
EPHX3		3	3	1725	0.2%	No
FER		2	2	1525	0.1%	No
DLG3		3	3	1525	0.2%	No
TMEM116		2	2	1525	0.1%	No
DLG4		1	1	200	0.5%	No
DLG5		4	4	1725	0.2%	No
TMEM117		1	1	200	0.5%	No
DNAJC10		2	2	350	0.6%	No
POC1B-GALNT4		1	1	200	0.5%	No
TGFBI		7	7	2122	0.3%	No
CLASRP		2	2	1525	0.1%	No
OR2A5		1	1	200	0.5%	No
GRSF1		1	1	150	0.7%	No
MCTP1		1	1	200	0.5%	No
HSPB7		3	3	597	0.5%	No
PDE3B		1	1	150	0.7%	No
ELAVL1		2	2	350	0.6%	No
DHTKD1		1	1	200	0.5%	No
POLB		1	1	150	0.7%	No
KRT10-AS1		4	4	1525	0.3%	No
TMEM102		1	1	200	0.5%	No
TMEM104		3	3	597	0.5%	No
ZC3H7A		2	2	1525	0.1%	No
ZC3H7B		1	1	200	0.5%	No
NFKBIZ		3	3	597	0.5%	No
TMEM108		3	3	597	0.5%	No
PDE4A		2	2	1525	0.1%	No
POLI		4	4	1525	0.3%	No
POLL		4	4	1525	0.3%	No
POLE		4	4	1725	0.2%	Yes
POLG		1	1	200	0.5%	Yes
PDE4D		1	1	200	0.5%	No
OR2H2		1	1	200	0.5%	No
PDE4C		2	2	1525	0.1%	No
FGG		1	1	200	0.5%	No
CENATAC		1	1	200	0.5%	No
ARID1A		11	11	2122	0.5%	Yes
ARID1B		8	8	1525	0.5%	Yes
LATS1		1	1	200	0.5%	Yes
PALLD		1	1	200	0.5%	No
EHHADH		2	2	200	1.0%	No
RNF207		1	1	200	0.5%	No
GCSAML		4	4	1525	0.3%	No
CHMP3		1	1	200	0.5%	No
PDE5A		1	1	200	0.5%	No
MCTP2		1	1	200	0.5%	No
OR2G6		1	1	200	0.5%	No
RGS16		1	1	200	0.5%	No
WIZ		1	1	200	0.5%	No
STRN3		1	1	200	0.5%	No
ACAN		20	20	1725	1.2%	No
SLC22A18AS		1	1	622	0.2%	No
NRIP2		2	2	1525	0.1%	No
RGS22		3	3	1525	0.2%	No
CLASP1		3	3	350	0.9%	No
CLASP2		1	1	200	0.5%	No
PTCD3		1	1	200	0.5%	No
POLQ		10	10	1725	0.6%	Yes
WTAP		2	1	200	0.5%	No
NIFK		1	1	200	0.5%	No
PCARE		8	8	1725	0.5%	No
ZFC3H1		3	3	597	0.5%	No
MEIS2		2	1	150	0.7%	No
MEIS1		2	2	1525	0.1%	No
LTBR		2	2	1525	0.1%	No
PDE7B		1	1	200	0.5%	No
POP5		1	1	200	0.5%	No
MT-CO1		2	2	197	1.0%	No
POP4		1	1	150	0.7%	No
OR4Q3		3	3	597	0.5%	No
ENDOU		2	2	1525	0.1%	No
NDST4		4	4	1525	0.3%	No
SUPT20H		3	3	597	0.5%	No
WLS		5	5	2122	0.2%	No
OR4P4		2	2	200	1.0%	No
CD2AP		1	1	200	0.5%	No
TRAJ37		1	1	200	0.5%	No
MT-CO2		5	5	197	2.5%	No
NOBOX		2	2	1525	0.1%	No
MT-CO3		2	2	197	1.0%	No
FAR2		2	2	1525	0.1%	No
ATF5		2	2	1525	0.1%	No
ATF4		1	1	200	0.5%	No
FLG		7	7	597	1.2%	No
CDCA4		2	2	1525	0.1%	No
PDGFB		2	2	1525	0.1%	Yes
GATA3		10	10	1525	0.7%	Yes
GATA2		89	72	2272	3.2%	Yes
GATA1		5	5	1675	0.3%	Yes
CIAO3		4	4	1525	0.3%	No
EPB41L5		3	3	597	0.5%	No
EPB41L1		2	2	200	1.0%	No
EPB41L2		5	5	1725	0.3%	No
EPB41L3		3	3	597	0.5%	No
PIP5K1B		2	2	1525	0.1%	No
PIP5K1C		1	1	200	0.5%	No
FN1		4	4	597	0.7%	No
TPBGL		4	4	1525	0.3%	No
VANGL1		2	2	1525	0.1%	No
VANGL2		2	2	1525	0.1%	No
FASN		4	4	1525	0.3%	No
FAT1		6	6	597	1.0%	Yes
FAT2		6	6	597	1.0%	No
F13B		1	1	200	0.5%	No
FAT4		6	6	597	1.0%	Yes
C19ORF44		2	2	1525	0.1%	No
HNRNPA1L2		1	1	200	0.5%	No
MTMR11		1	1	200	0.5%	No
MTMR14		1	1	200	0.5%	No
C12ORF42		2	2	1525	0.1%	No
HOXC11		2	2	1525	0.1%	Yes
ATIC		1	1	200	0.5%	Yes
CHAF1A		2	2	200	1.0%	No
TCP11L1		1	1	200	0.5%	No
TCP11L2		3	3	200	1.5%	No
NINL		1	1	200	0.5%	No
EPS15L1		2	2	1525	0.1%	No
SLC7A4		2	2	1525	0.1%	No
PHF20L1		1	1	200	0.5%	No
SLC7A7		5	5	2122	0.2%	No
SLC7A8		1	1	200	0.5%	No
SLC7A9		2	2	200	1.0%	No
ACSBG1		4	4	1525	0.3%	No
CACUL1		2	2	1525	0.1%	No
TPSD1		2	2	1525	0.1%	No
SAMD7		3	3	1525	0.2%	No
ATL3		1	1	200	0.5%	No
SAMD9		1	1	200	0.5%	No
ATL1		1	1	200	0.5%	No
CIPC		1	1	200	0.5%	No
WRN		5	5	2122	0.2%	Yes
FRZB		3	3	597	0.5%	No
MFN1		3	3	597	0.5%	No
SAMD3		2	2	1525	0.1%	No
GOLM1		4	4	200	2.0%	No
TRAPPC10		1	1	150	0.7%	No
NOC3L		4	4	1525	0.3%	No
FAM200A		2	2	1525	0.1%	No
WT1		218	170	2272	7.5%	Yes
SLMAP		3	3	1725	0.2%	No
PTF1A		2	2	1525	0.1%	No
CRLF3		1	1	200	0.5%	No
EBAG9		2	2	1525	0.1%	No
LIMS2		3	3	597	0.5%	No
FRYL		16	16	2122	0.8%	No
CRLF1		4	2	1525	0.1%	No
ATN1		1	1	200	0.5%	No
LTN1		1	1	200	0.5%	No
PLOD2		3	3	200	1.5%	No
PLOD1		5	5	597	0.8%	No
FRY		3	3	1725	0.2%	No
HHAT		2	2	1525	0.1%	No
GARIN3		1	1	200	0.5%	No
GARIN4		1	1	200	0.5%	No
ADORA3		2	2	1525	0.1%	No
CEP250		1	1	200	0.5%	No
CIR1		1	1	200	0.5%	No
GARIN6		2	2	1525	0.1%	No
SYBU		1	1	200	0.5%	No
EIF1AX		2	2	1525	0.1%	Yes
FST		2	2	1525	0.1%	No
ADIPOQ		2	2	1525	0.1%	No
CNPY3		6	6	1525	0.4%	No
NCCRP1		3	3	597	0.5%	No
ACLY		1	1	200	0.5%	No
SLC27A6		3	3	597	0.5%	No
FTO		2	2	1525	0.1%	No
COL17A1		2	2	200	1.0%	No
SHC4		1	1	200	0.5%	No
LCN9		2	2	1525	0.1%	No
DLX2		2	2	1525	0.1%	No
DLX3		3	3	597	0.5%	No
SHC1		4	4	597	0.7%	No
CYP2C19		1	1	200	0.5%	No
CYP2C18		1	1	200	0.5%	No
IGSF21		2	2	1525	0.1%	No
HHATL		2	2	1525	0.1%	No
SLC14A2		2	2	200	1.0%	No
AGXT2		3	3	597	0.5%	No
ELOA2		3	3	597	0.5%	No
CORO2A		4	4	1525	0.3%	No
CTAG2		2	2	1525	0.1%	No
C1ORF216		1	1	200	0.5%	No
IGSF10		1	1	200	0.5%	No
DMXL1		2	2	200	1.0%	No
DMXL2		8	2	200	1.0%	No
ACO1		1	1	200	0.5%	No
ACO2		1	1	200	0.5%	No
MT-CYB		3	3	197	1.5%	No
NIT2		1	1	200	0.5%	No
OR7A10		1	1	200	0.5%	No
ACP7		3	3	1725	0.2%	No
TAGAP		1	1	200	0.5%	No
ACP4		2	2	1525	0.1%	No
ACP2		1	1	200	0.5%	No
CEP290		4	4	597	0.7%	No
UNKL		6	6	1525	0.4%	No
OR7A17		1	1	200	0.5%	No
EIF5B		4	3	200	1.5%	No
CEP295		1	1	200	0.5%	No
ATRX		2	2	1525	0.1%	Yes
SEZ6L		2	2	1525	0.1%	No
ATRN		2	2	1525	0.1%	No
SYF2		1	1	200	0.5%	No
TMBIM1		1	1	200	0.5%	No
LCOR		3	3	200	1.5%	No
LCP2		1	1	200	0.5%	No
PRPS2		1	1	200	0.5%	No
PRPS1		1	1	200	0.5%	No
MGRN1		2	2	1525	0.1%	No
PBXIP1		1	1	200	0.5%	No
TSPAN33		1	1	200	0.5%	No
CDC42		4	4	597	0.7%	Yes
KCTD20		2	2	1525	0.1%	No
FSD2		3	3	597	0.5%	No
FSD1		1	1	200	0.5%	No
PCDH1		14	14	2122	0.7%	No
NTRK3		6	6	2122	0.3%	Yes
PCDH7		4	4	1525	0.3%	No
KIAA1549L		4	4	597	0.7%	No
SYT16		2	2	1525	0.1%	No
SYT14		2	2	1525	0.1%	No
SYT13		2	2	1525	0.1%	No
REC8		1	1	200	0.5%	No
TTC39A		1	1	200	0.5%	No
SYT17		4	4	597	0.7%	No
SUGCT		3	3	597	0.5%	No
TSPAN13		2	2	200	1.0%	No
SYT12		2	2	1525	0.1%	No
EIF3K		1	1	200	0.5%	No
TSPAN19		2	2	1525	0.1%	No
EIF3L		1	1	200	0.5%	No
EIF3E		1	1	200	0.5%	Yes
EIF3F		2	2	1525	0.1%	No
PIK3AP1		2	2	1525	0.1%	No
EIF3A		2	2	1525	0.1%	No
DMGDH		1	1	200	0.5%	No
SMARCAL1		1	1	200	0.5%	No
NUDT5		2	2	1525	0.1%	No
NUDT3		1	1	200	0.5%	No
CDC23		1	1	200	0.5%	No
CDC27		2	2	200	1.0%	No
PIEZO2		1	1	200	0.5%	No
PIEZO1		2	2	1525	0.1%	No
EIF2D		4	4	597	0.7%	No
EPC2		2	1	200	0.5%	No
MFSD2B		1	1	200	0.5%	No
OR5B2		2	2	200	1.0%	No
MFSD2A		1	1	200	0.5%	No
EIF2A		1	1	150	0.7%	No
KCTD19		2	2	1525	0.1%	No
CSNK1D		1	1	200	0.5%	No
MFSD10		2	2	1525	0.1%	No
PYURF		2	2	1525	0.1%	No
CD226		1	1	200	0.5%	No
BCORL1		38	36	2122	1.7%	Yes
TRIB1		1	1	200	0.5%	No
KCTD18		3	3	1725	0.2%	No
KCTD16		2	2	1525	0.1%	No
ZNF324B		3	3	597	0.5%	No
USHBP1		2	2	200	1.0%	No
LPAR3		6	6	1525	0.4%	No
KALRN		1	1	200	0.5%	No
MBTD1		2	2	1525	0.1%	No
PPCS		1	1	200	0.5%	No
CEP192		2	2	350	0.6%	No
ATP6V1C1		3	3	597	0.5%	No
STAT5A		1	1	200	0.5%	Yes
STAT5B		9	9	1725	0.5%	Yes
REG4		1	1	200	0.5%	No
PPBP		2	2	1525	0.1%	No
OSGIN2		1	1	200	0.5%	No
ALDH6A1		1	1	200	0.5%	No
CD207		2	2	1525	0.1%	No
CDC16		1	1	200	0.5%	No
KYAT1		1	1	200	0.5%	No
IGSF9B		7	7	2122	0.3%	No
SUGP2		1	1	200	0.5%	No
SYNM		4	4	1525	0.3%	No
ACY3		3	3	1725	0.2%	No
DHRS11		1	1	200	0.5%	No
IL27		4	4	1525	0.3%	No
C1ORF210		1	1	200	0.5%	No
AKAP12		4	4	597	0.7%	No
AKAP13		3	3	597	0.5%	No
AKAP11		5	5	1725	0.3%	No
CRTAC1		2	2	200	1.0%	No
EPG5		10	10	1725	0.6%	No
SPTAN1		1	1	150	0.7%	No
PBRM1		3	3	200	1.5%	Yes
PABPC4		4	4	1725	0.2%	No
SYN3		1	1	200	0.5%	No
FSHR		2	2	1525	0.1%	No
IL1B		1	1	200	0.5%	No
PABPC3		3	3	597	0.5%	No
MFSD4A		1	1	200	0.5%	No
RELN		8	8	1725	0.5%	Yes
MGAT5		1	1	200	0.5%	No
MGAT3		4	4	1525	0.3%	No
ATP6V1G3		3	3	597	0.5%	No
XDH		1	1	150	0.7%	No
IL32		3	3	597	0.5%	No
GCA		1	1	200	0.5%	No
PNPLA8		1	1	200	0.5%	No
H2BC3		1	1	150	0.7%	No
VEGFC		4	4	1525	0.3%	No
PCDHB13		1	1	200	0.5%	No
PCDHB11		3	3	597	0.5%	No
SH3RF3		1	1	200	0.5%	No
SH3RF2		3	2	200	1.0%	No
EPGN		3	3	597	0.5%	No
CFHR2		3	3	597	0.5%	No
PCDHB16		3	3	597	0.5%	No
HNRNPA2B1		2	2	1525	0.1%	Yes
OTULIN		2	2	1525	0.1%	No
PNPLA3		1	1	200	0.5%	No
AGGF1		1	1	200	0.5%	No
CCNYL1		1	1	200	0.5%	No
PNPLA5		2	2	1525	0.1%	No
KIAA1958		1	1	200	0.5%	No
PNPLA1		1	1	200	0.5%	No
OR5C1		1	1	200	0.5%	No
AMHR2		2	2	1525	0.1%	No
PCDH11Y		2	2	1525	0.1%	No
OR5K3		3	3	597	0.5%	No
PCDH11X		5	5	2122	0.2%	No
UBE3B		3	3	1725	0.2%	No
ZFAND1		1	1	200	0.5%	No
TMEM268		1	1	200	0.5%	No
IL6R		3	3	1725	0.2%	No
TPTE2		16	16	2122	0.8%	No
GEN1		1	1	150	0.7%	No
IL4R		2	1	200	0.5%	No
UBE4B		2	2	350	0.6%	No
POU3F2		1	1	200	0.5%	Yes
POU3F3		8	8	1525	0.5%	No
SPOCD1		2	2	200	1.0%	No
SHQ1		3	3	597	0.5%	Yes
SCNN1B		2	2	1525	0.1%	No
SCNN1A		1	1	200	0.5%	No
MAP7D2		4	3	200	1.5%	No
ANKS6		3	3	1725	0.2%	No
PPIG		1	1	200	0.5%	No
PPIC		8	8	2122	0.4%	No
SIDT2		10	10	2122	0.5%	No
FBN2		1	1	200	0.5%	No
FBN3		3	3	200	1.5%	No
DHX40P1		2	2	1525	0.1%	No
CACNA1B		12	12	2122	0.6%	No
CACNA1A		1	1	200	0.5%	No
CACNA1D		4	4	1525	0.3%	Yes
CACNA1C		4	4	1725	0.2%	No
BHLHE22		10	10	1525	0.7%	No
CACNA1F		1	1	200	0.5%	No
HOXB13		1	1	200	0.5%	Yes
CACNA1E		11	11	2122	0.5%	No
CACNA1G		7	7	2122	0.3%	No
NCKIPSD		2	2	1525	0.1%	No
CACNA1I		3	3	1725	0.2%	No
TMEM245		1	1	150	0.7%	No
PRR5-ARHGAP8		4	3	1725	0.2%	No
TMEM248		2	2	1525	0.1%	No
